TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
110.9667,658860.8,292512.7,356,256768,118129.8,356,7106.813,1631.585,1835.096,746.3364,400.2107,8246.602,3332.101,9747.432,1649.393,N11
111.903,536598.2,307328,320,257176.3,112609.3,320,4834.133,4005.39,921.8402,450.2052,347.4349,3934.598,1055.799,3975.324,1459.247,M11
112.9168,380667.9,218069.6,308,122977.7,68631.36,308,50.70289,1369.462,882.5763,1119.479,1991.148,561.812,943.83,9742.899,559.3397,L11
113.7947,595936.6,316497.4,329,231540.6,104724.5,329,12274.71,10601.91,1533.054,1634.659,321.4138,7078.375,1075.11,6456.756,961.2762,K11
115.0142,498216.7,238885.9,337,215815.1,109952.6,337,5975.324,1598.906,1644.054,291.8538,291.8069,6029.459,1938.849,8430.39,30.60736,J11
116.9952,350955.2,221275,294,181372.8,109104.8,294,301.0056,1301.186,637.4009,237.1388,271.2912,1411.734,949.4867,4178.758,567.1848,I11
118.0095,337960.3,192725.1,299,140564.3,72666.72,299,325.5441,954.0955,1228.411,1107.806,3162.531,581.3626,838.3976,4260.862,809.9403,H11
119.1849,316988.3,199598.6,288,147025.7,74503.52,288,146.837,427.577,1880.684,500.7692,4176.061,719.5725,1781.18,3836.736,970.175,G11
120.101,433573.4,267397.8,303,141065,68869.92,303,11051.8,46443.62,920.5516,1348.146,-37.2143,8560.948,2079.802,3970.015,53.32006,F11
121.0801,362296,225747.2,298,117918.8,60820.48,298,240.267,715.9866,1441.962,558.0336,389.8179,1108.291,1856.21,5662.254,-34.42297,E11
122.1457,376850.9,199428.3,315,167282.5,84680.96,315,380.9532,992.5704,1046.541,645.3901,237.7654,5634.533,1323.036,9846.05,1238.125,D11
123.1029,371086.7,190792,318,152076.1,68140.8,318,404.3866,1488.878,1910.938,889.3536,4369.822,418.0978,1379.231,9824.053,-79.12777,C11
124.093,355978.8,204603.8,303,166792,85802.08,303,218.3936,1165.061,3201.996,731.1393,-49.85902,-144.4384,1716.44,6333.608,1032.203,B11
125.0906,497952.8,244913.8,332,177301,79956.8,332,286.2108,309.4679,571.3732,526.4219,341.1849,6269.415,2110.411,7652.119,1547.521,A11
127.2438,316651.3,187693,297,127318.3,67777.92,297,86.97946,417.8642,1607.366,1591.121,629.8281,372.9731,1312.669,6088.207,560.1098,A13
128.8255,402497.2,261504.3,298,136768.5,72196.32,298,316.43,1080.138,1369.077,746.564,855.0127,232.3964,1530.376,6286.347,1030.086,B13
129.8659,391900.4,224744.8,308,130290.1,66044.16,308,341.4617,519.553,2418.25,543.9984,1680.064,227.9296,1131.926,6273.234,1364.664,C13
131.1952,362661,225564.6,298,136901.7,68016.48,298,501.5628,849.6188,1645.482,612.8935,2304.071,340.096,2029.241,9909.501,542.4114,D13
132.4048,376502.9,234362.2,297,165200.2,83678.56,297,280.7459,726.7157,1487.573,524.2541,852.4786,368.6483,2191.721,9421.599,941.2964,E13
133.2605,372509.3,249000.6,289,136669.6,74982.88,289,345.9438,943.8745,2379.881,514.9463,1673.079,527.1599,1697.243,6832.219,805.7509,F13
134.8461,396072.4,217437.9,312,135292.9,72957.92,312,113.5709,5219.796,3306.942,1845.668,4563.299,377.4258,1369.56,10999.04,532.2791,G13
137.0715,326914.4,187354.7,302,133042.9,58610.72,302,122.767,907.6653,1318.97,856.7687,783.3266,297.2838,1068.785,5000.769,1045.468,H13
138.1027,360442.3,242268.3,289,128577.1,69917.12,289,283.4626,971.514,1787.189,495.9103,979.0444,604.29,705.6934,4024.399,207.9046,I13
139.5998,415331.6,305676,288,157066.1,76587.84,288,156.9423,760.8807,2288.757,726.8522,1675.629,757.8354,876.8599,7111.912,406.1584,J13
140.7385,334355.4,201175.5,295,144900.8,75073.6,295,359.8115,650.9332,937.298,578.5919,961.3754,42.79892,776.5804,6416.261,618.9343,K13
142.5981,267528.8,168891.5,279,189008.9,116280.6,279,527.6854,309.1598,709.1458,1790.757,122.4267,557.5688,1608.652,9462.169,1400.554,L13
143.8945,413426.5,259406.6,302,152221.6,84795.2,302,241.0816,4283.285,2453.657,728.634,5375.566,762.136,780.7445,7455.95,348.338,M13
144.8651,397659.9,236575.4,304,148830,75891.2,304,270.2972,1153.618,2037.703,1002.685,241.2627,351.8128,1910.515,8095.904,433.8399,N13
146.1187,423314.6,294807.5,295,122100.4,63521.92,295,153.6407,1443.929,1724.035,723.6437,2185.55,606.4791,1593.581,5658.798,409.3388,O13
147.1712,396447.7,259311.4,296,137470.7,75436.48,296,29.08944,541.2479,710.4755,658.8357,873.0574,509.6641,983.7719,4371.238,957.1683,P13
149.7261,333836.6,219169.4,289,162076.3,84505.12,289,378.5919,644.6891,1433.428,649.6968,1729.851,588.2801,2541.444,7935.536,198.6639,P15
151.6791,404831.8,266037,298,154020.4,76745.76,298,223.6667,874.2205,2416.899,731.0376,1686.343,306.2819,1569.903,7017.533,514.0322,O15
152.7543,334670.5,184643.2,304,148855.9,69888,304,60.2475,842.0175,1414.244,281.0282,184.9693,492.6104,1323.219,5815.539,643.8292,N15
153.6995,359238.8,212338.6,299,152887.1,74471.04,299,263.4596,489.6307,1916.222,890.0764,440.8897,467.5703,1453.711,6169.477,1863.549,M15
155.9195,408303.6,279837.6,293,140155.1,75069.12,293,279.8729,238.3659,2042.535,378.1434,3384.593,757.9221,1506.438,8082.465,1242.483,L15
158.4075,365766.2,268157.1,283,128337.3,65987.04,283,292.2951,827.4093,977.7697,77.9806,175.7134,51.37159,1693.066,7774.342,822.3167,K15
161.2852,359278.3,210353.9,302,142961.1,79364.32,302,307.2524,1086.041,1305.695,1029.982,1138.979,391.6222,1636.804,6526.158,822.3492,J15
162.5217,325907.6,185771,302,149652.3,79381.12,302,402.9468,524.6826,1520.553,1207.934,940.9056,579.2557,1207.38,5923.579,683.2352,I15
163.6976,339379.9,214687.2,293,106902.4,58975.84,293,50.86435,1345.229,731.3732,468.2489,2284.767,682.7266,784.7743,4682.159,764.0138,H15
165.143,460835.5,293800.7,306,164311.7,84012.32,306,248.2021,2012.296,1160.643,1398.92,4467.311,-1.963362,1730.942,7612.12,656.9767,G15
166.0619,322046.5,178298.4,300,159239.6,79448.32,300,270.255,880.5721,890.2072,943.1438,1889.677,414.0033,736.7114,4333.152,479.7441,F15
167.9417,359787.1,215265.1,300,127175.7,71410.08,300,314.7522,999.4938,2968.965,744.6326,711.252,341.7239,328.1361,4781.542,1531.019,E15
169.7054,348321.4,198583.8,302,158521.3,83556.48,302,188.3615,663.1514,1627.2,383.4655,669.955,333.806,1579.564,6354.176,780.8351,D15
172.4816,380113.6,208793.8,307,160126.7,82903.52,307,47.40195,1414.331,2626.77,1072.513,2971.992,676.5247,1176.762,7095.327,1186.484,C15
174.1651,356694.9,215777,299,138872.5,72979.2,299,79.26302,997.0637,1071.167,447.2508,1221.458,622.6476,1711.2,3794.859,676.556,B15
175.1997,377109.9,207186.6,311,150010.9,72197.44,311,840.5837,1299.557,1726.402,1640.522,1597.954,537.7379,686.8159,5760.811,710.7302,A15
177.1995,287601.3,172370.2,288,119284.3,62375.04,288,215.8174,470.4437,1377.679,551.846,694.073,455.9918,1714.38,6683.429,1518.878,A17
180.2266,326199.6,200396,294,109641.6,56005.6,294,124.6321,2009.564,1901.666,748.3138,995.1454,665.5219,879.4522,7300.006,819.7341,B17
181.1842,315912.9,191921,292,138697.3,75565.28,292,303.9288,740.3256,1218.211,384.7142,1175.838,282.2875,851.697,3760.381,1402.727,C17
182.2992,366830,233730.6,298,141298.4,73731.84,298,157.2212,590.4733,2173.409,1705.419,1432.47,656.8456,1442.364,7951.114,1342.857,D17
183.4326,459474.3,332559.4,293,210897.7,107067.5,293,180.1554,4395.215,1656.21,314.6561,1182.76,452.1839,1097.438,10835.49,632.4033,E17
184.4248,352337.2,205316.2,301,130973.3,62192.48,301,-35.35704,1885.905,1493.324,1671.514,2897.774,195.3473,1145.704,9269.608,1575.291,F17
187.5561,356257,217098.6,304,140935.9,72632,304,358.226,2619.171,809.7041,1051.545,2582.962,121.4964,2291.095,7575.064,992.4392,G17
188.8836,297077.8,196551,281,87896.14,46663.68,281,179.5896,432.2446,1588.192,341.1377,189.8383,656.4957,908.9955,3353.109,703.5286,H17
189.9773,396446.9,235486.7,306,163411.5,74044.32,306,214.683,809.2809,1520.19,1576.472,414.9338,702.0146,2259.829,10132.44,1108.852,I17
191.4662,391750.2,210636.2,312,138116.1,71832.32,312,381.9108,787.2895,2575.052,885.6642,1743.557,467.7643,1266.422,8936.857,1309.752,J17
192.9369,301556.7,173841.9,297,138608,75104.96,297,332.0055,892.6724,2242.81,794.8433,1069.263,254.8358,1256.633,6393.708,355.8292,K17
194.2924,424681.6,275813.4,300,170199.7,83683.04,300,405.2756,1452.158,728.6672,1053.684,1394.116,326.779,1298.313,8329.479,1215.479,L17
195.9022,412884.6,271163.2,299,150961.1,74248.16,299,193.1784,1059.579,750.5985,1022.858,2178.041,305.2173,1420.062,6072.724,869.2823,M17
198.7504,360630.3,225139,294,160008.4,89393.92,294,475.4866,495.881,866.509,462.9802,559.939,448.089,537.5704,5333.979,392.9419,N17
199.6127,402080.7,211450.4,314,165256,87637.76,314,8779.774,1003.685,1880.72,458.7967,364.2694,582.2554,4092.343,9302.068,979.1982,O17
201.0377,372487.8,217707.8,304,135772.2,69433.28,304,272.1203,1079.746,2170.427,1374.458,2532.386,669.4473,1289.986,8158.736,1221.871,P17
204.552,515373.1,215796,359,300598.7,120861.4,359,167.8526,435.0333,1934.489,957.2405,432.9188,9923.332,2254.151,4653.816,955.9299,P19
205.9903,346424.5,213057.6,297,136170.1,69081.6,297,345.4342,349.3638,832.2919,494.282,648.5258,1807.427,1412.749,5113.368,673.1557,O19
207.0099,606592.7,301324.8,355,342342.4,140899.4,355,489.0502,371.1145,179.4628,1316.341,400.0039,8319.721,2713.344,4646.159,1168.055,N19
